context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code,
4/24/12 15:00,Malaysian Mission,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,MDM Spain,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,Medical Team International,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,RTR hospital,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Save the Children,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,SM Foundation,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,The Salvation Army,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,The Salvation Army,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,UNICEF/EVRMC,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,UNICEF/MHC,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,UNICEF/TCH,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,US-Pacific Partnership,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,Volunteer for the Visayas,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,WHO - World Health Organization,Health,Leyte,Tacloban city(capital),completed,11.2724,124.955,83747000,,
4/24/12 15:00,Wolffe Couple,Health,Leyte,Tacloban city(capital),planned,11.2724,124.955,83747000,,
4/24/12 15:00,World Vision International,Health,Leyte,Tacloban city(capital),ongoing,11.2724,124.955,83747000,,
4/24/12 15:00,MDM France,Health,Leyte,Ormoc,completed,11.0552,124.636,83738000,,
4/24/12 15:00,Access Aid International,Health,ILOILO,Concepcion,planned,11.2197,123.121,63015000,,
4/24/12 15:00,Access Aid International,Health,ILOILO,Concepcion,ongoing,11.2197,123.121,63015000,,
4/24/12 15:00,Access Aid International,Health,ILOILO,Concepcion,completed,11.2197,123.121,63015000,,
4/24/12 15:00,ADRA,Health,ILOILO,Batad,planned,11.4004,123.1,63009000,,
4/24/12 15:00,ADRA,Health,ILOILO,Carles,planned,11.5215,123.191,63014000,,
4/24/12 15:00,ADRA,Health,CAPIZ,Cuartero,planned,11.3135,122.76,61901000,,
4/24/12 15:00,ADRA,Health,CAPIZ,Tapaz,ongoing,11.2582,122.422,61917000,,
4/24/12 15:00,Americares,Health,CAPIZ,Panitan,planned,11.4443,122.775,61910000,,
4/24/12 15:00,Americares,Health,CAPIZ,Pilar,planned,11.4607,123.02,61911000,,
4/24/12 15:00,Americares,Health,CAPIZ,Pontevedra,planned,11.436,122.867,61912000,,
4/24/12 15:00,Americares,Health,CAPIZ,Roxas City(Capital),planned,11.5568,122.746,61914000,,
4/24/12 15:00,Americares,Health,ILOILO,Estancia,planned,11.4523,123.135,63019000,,
4/24/12 15:00,Canadian Forces/DART,Health,ILOILO,BALASAN,planned,11.4579,123.086,63005000,,
4/24/12 15:00,Canadian Forces/DART,Health,ILOILO,Carles,ongoing,11.5215,123.191,63014000,,
4/24/12 15:00,Canadian Forces/DART,Health,ILOILO,Carles,planned,11.5215,123.191,63014000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,CUARTERO,completed,11.3135,122.76,61901000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,DAO,completed,11.3803,122.709,61902000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,IVISAN,completed,11.5182,122.683,61905000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Jamindan,completed,11.3685,122.403,61906000,,
4/24/12 15:00,Canadian Forces/DART,Health,ILOILO,Lemery,planned,11.2239,122.917,63027000,,
4/24/12 15:00,Canadian Forces/DART,Health,AKLAN,LIBACAO,planned,11.419,122.296,60409000,,
4/24/12 15:00,Canadian Forces/DART,Health,AKLAN,LIBACAO,ongoing,11.419,122.296,60409000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Ma-ayon,planned,11.3509,122.849,61907000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Ma-ayon,completed,11.3509,122.849,61907000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Mambusao,planned,11.4338,122.589,61908000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Mambusao,completed,11.4338,122.589,61908000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Panay,planned,11.535,122.832,61909000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Panay,completed,11.535,122.832,61909000,,
4/24/12 15:00,Canadian Forces/DART,Health,CAPIZ,Panitan,completed,11.4443,122.775,61910000,,
