context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,BALANGKAYAN,Planned,11.4092,125.405,82603000,82603
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,BALANGKAYAN,Completed,11.4092,125.405,82603000,82603
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,GENERAL MACARTHUR,Completed,11.2674,125.507,82607000,82607
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,GIPORLOS,Completed,11.1271,125.475,82608000,82608
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,GUIUAN,Ongoing,10.8515,125.737,82609000,82609
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,HERNANI,Planned,11.3267,125.592,82610000,82610
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,HERNANI,Ongoing,11.3267,125.592,82610000,82610
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,LAWAAN,Completed,11.2021,125.287,82612000,82612
4/24/2012 15:00,Plan,Nutrition,SAMAR (WESTERN SAMAR),MARABUT,Planned,11.2058,125.218,86010000,86010
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,MERCEDES,Planned,11.089,125.705,82616000,82616
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,QUINAPONDAN,Completed,11.1896,125.477,82618000,82618
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,SALCEDO,Planned,11.1593,125.628,82619000,82619
4/24/2012 15:00,Plan,Nutrition,EASTERN SAMAR,SALCEDO,Ongoing,11.1593,125.628,82619000,82619
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,ABUYOG,Ongoing,10.6584,125.045,83701000,83701
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,DULAG,Ongoing,10.9633,125.008,83718000,83718
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,ISABEL,Ongoing,10.9403,124.46,83722000,83722
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,MAYORGA,Ongoing,10.8832,124.988,83735000,83735
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,MERIDA,Ongoing,10.9636,124.51,83736000,83736
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,ORMOC CITY,Ongoing,11.0552,124.636,83738000,83738
4/24/2012 15:00,Sam's Purse,Nutrition,LEYTE,SANTA FE,Ongoing,11.1887,124.936,83744000,83744
4/24/2012 15:00,SCI,Nutrition,LEYTE,DULAG,Completed,10.9633,125.008,83718000,83718
4/24/2012 15:00,SCI,Nutrition,LEYTE,MATAG-OB,Ongoing,11.124,124.468,83733000,83733
4/24/2012 15:00,SCI,Nutrition,LEYTE,PALO,Ongoing,11.1457,124.97,83739000,83739
4/24/2012 15:00,DSWD,Nutrition,LEYTE,PALO,Completed,11.1457,124.97,83739000,83739
4/24/2012 15:00,SCI,Nutrition,LEYTE,TANAUAN,Ongoing,11.0846,124.991,83748000,83748
4/24/2012 15:00,SCI,Nutrition,LEYTE,TOLOSA,Ongoing,11.0369,125.02,83749000,83749
4/24/2012 15:00,SCI,Nutrition,LEYTE,VILLABA,Ongoing,11.1957,124.435,83751000,83751
4/24/2012 15:00,UNICEF,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Ongoing,11.2724,124.955,83747000,83747
4/24/2012 15:00,DSWD,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Completed,11.2724,124.955,83747000,83747
4/24/2012 15:00,WVI,Nutrition,LEYTE,ALANGALANG,Ongoing,11.22,124.864,83702000,83702
4/24/2012 15:00,WVI,Nutrition,LEYTE,DULAG,Ongoing,10.9633,125.008,83718000,83718
4/24/2012 15:00,WVI,Nutrition,LEYTE,JULITA,Ongoing,10.9813,124.961,83725000,83725
4/24/2012 15:00,WVI,Nutrition,LEYTE,MAYORGA,Ongoing,10.8832,124.988,83735000,83735
4/24/2012 15:00,WVI,Nutrition,LEYTE,ORMOC CITY,Ongoing,11.0552,124.636,83738000,83738
4/24/2012 15:00,WVI,Nutrition,LEYTE,TABONTABON,Ongoing,11.0441,124.947,83746000,83746
4/24/2012 15:00,WVI,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Ongoing,11.2724,124.955,83747000,83747
4/24/2012 15:00,ACF,Nutrition,CAPIZ,PONTEVEDRA,Ongoing,11.436,122.867,61912000,61912
4/24/2012 15:00,ACF,Nutrition,CAPIZ,PILAR,Ongoing,11.4607,123.02,61911000,61911
4/24/2012 15:00,ACF,Nutrition,ILOILO,SAN DIONISIO,Ongoing,11.3268,123.079,63038000,63038
4/24/2012 15:00,ACF,Nutrition,ILOILO,ESTANCIA,Ongoing,11.4523,123.135,63019000,63019
4/24/2012 15:00,ACF,Nutrition,CAPIZ,MAMBUSAO,Completed,11.4338,122.589,61908000,61908
4/24/2012 15:00,ACF,Nutrition,CAPIZ,CUARTERO,Completed,11.3135,122.76,61901000,61901
4/24/2012 15:00,ACF,Nutrition,ILOILO,CARLES,Completed,11.5215,123.191,63014000,63014
4/24/2012 15:00,IMC,Nutrition,CAPIZ,PANAY,Completed,11.535,122.832,61909000,61909
4/24/2012 15:00,IMC,Nutrition,CAPIZ,PONTEVEDRA,Completed,11.436,122.867,61912000,61912
4/24/2012 15:00,IMC,Nutrition,CAPIZ,IVISAN,Completed,11.5182,122.683,61905000,61905
4/24/2012 15:00,IMC,Nutrition,CAPIZ,MAMBUSAO,Completed,11.4338,122.589,61908000,61908
4/24/2012 15:00,IMC,Nutrition,CAPIZ,SAPI-AN,Completed,11.4981,122.6,61915000,61915
4/24/2012 15:00,UNICEF,Nutrition,CAPIZ,ROXAS CITY (CAPITAL),Ongoing,11.5568,122.746,61914000,61914
4/24/2012 15:00,WVI,Nutrition,AKLAN,BATAN,Ongoing,11.5686,122.485,60404000,60404
4/24/2012 15:00,WVI,Nutrition,ILOILO,ESTANCIA,Ongoing,11.4523,123.135,63019000,63019
4/24/2012 15:00,SCI,Nutrition,ILOILO,BALASAN,Ongoing,11.4579,123.086,63005000,63005
4/24/2012 15:00,SCI,Nutrition,ILOILO,BATAD,Ongoing,11.4004,123.1,63009000,63009
4/24/2012 15:00,SCI,Nutrition,ILOILO,CARLES,Ongoing,11.5215,123.191,63014000,63014
4/24/2012 15:00,SCI,Nutrition,ILOILO,CONCEPCION,Ongoing,11.2197,123.121,63015000,63015
4/24/2012 15:00,SCI,Nutrition,CAPIZ,PANAY,Ongoing,11.535,122.832,61909000,61909
4/24/2012 15:00,SCI,Nutrition,CAPIZ,PRESIDENT ROXAS,Ongoing,11.4171,122.956,61913000,61913
4/24/2012 15:00,ChildFund,Nutrition,CAPIZ,ROXAS CITY (CAPITAL),Ongoing,11.5568,122.746,61914000,61914
4/24/2012 15:00,ChildFund,Nutrition,CAPIZ,TAPAZ,Ongoing,11.2582,122.422,61917000,61917
4/24/2012 15:00,ChildFund,Nutrition,CAPIZ,IVISAN,Ongoing,11.5182,122.683,61905000,61905
4/24/2012 15:00,ChildFund,Nutrition,ILOILO,SARA,Ongoing,11.2986,122.998,63044000,63044
4/24/2012 15:00,AAI,Nutrition,ILOILO,CONCEPCION,Completed,11.2197,123.121,63015000,63015
4/24/2012 15:00,AAI,Nutrition,ILOILO,CONCEPCION,Ongoing,11.2197,123.121,63015000,63015
4/24/2012 15:00,AAI,Nutrition,ILOILO,CONCEPCION,Planned,11.2197,123.121,63015000,63015
4/24/2012 15:00,ChildFund,Nutrition,CEBU,BANTAYAN,Planned,11.1873,123.726,72209000,72209
4/24/2012 15:00,DOH/NNC,Nutrition,CEBU,BANTAYAN,Completed,11.1873,123.726,72209000,72209
